#       r             R(r)          X(r)=rR(r)          Veff
  1.351832e-03   1.591372e+01   2.151268e-02  -5.917894e+03
  1.365418e-03   1.591285e+01   2.172770e-02  -5.859010e+03
  1.379141e-03   1.591198e+01   2.194486e-02  -5.800712e+03
  1.393002e-03   1.591110e+01   2.216418e-02  -5.742994e+03
  1.407002e-03   1.591020e+01   2.238568e-02  -5.685850e+03
  1.421142e-03   1.590931e+01   2.260938e-02  -5.629275e+03
  1.435425e-03   1.590840e+01   2.283531e-02  -5.573263e+03
  1.449851e-03   1.590748e+01   2.306348e-02  -5.517808e+03
  1.464422e-03   1.590655e+01   2.329391e-02  -5.462905e+03
  1.479140e-03   1.590561e+01   2.352663e-02  -5.408548e+03
  1.494006e-03   1.590467e+01   2.376167e-02  -5.354732e+03
  1.509021e-03   1.590371e+01   2.399903e-02  -5.301451e+03
  1.524187e-03   1.590275e+01   2.423876e-02  -5.248701e+03
  1.539505e-03   1.590177e+01   2.448086e-02  -5.196476e+03
  1.554977e-03   1.590079e+01   2.472537e-02  -5.144770e+03
  1.570605e-03   1.589980e+01   2.497230e-02  -5.093578e+03
  1.586390e-03   1.589879e+01   2.522168e-02  -5.042897e+03
  1.602333e-03   1.589778e+01   2.547354e-02  -4.992719e+03
  1.618437e-03   1.589675e+01   2.572790e-02  -4.943040e+03
  1.634703e-03   1.589572e+01   2.598478e-02  -4.893856e+03
  1.651132e-03   1.589468e+01   2.624420e-02  -4.845162e+03
  1.667726e-03   1.589362e+01   2.650620e-02  -4.796952e+03
  1.684487e-03   1.589256e+01   2.677080e-02  -4.749221e+03
  1.701416e-03   1.589148e+01   2.703802e-02  -4.701966e+03
  1.718516e-03   1.589039e+01   2.730789e-02  -4.655180e+03
  1.735787e-03   1.588929e+01   2.758043e-02  -4.608860e+03
  1.753232e-03   1.588819e+01   2.785568e-02  -4.563001e+03
  1.770852e-03   1.588707e+01   2.813365e-02  -4.517599e+03
  1.788650e-03   1.588594e+01   2.841437e-02  -4.472648e+03
  1.806626e-03   1.588479e+01   2.869788e-02  -4.428144e+03
  1.824783e-03   1.588364e+01   2.898419e-02  -4.384084e+03
  1.843122e-03   1.588247e+01   2.927334e-02  -4.340461e+03
  1.861646e-03   1.588130e+01   2.956535e-02  -4.297273e+03
  1.880356e-03   1.588011e+01   2.986025e-02  -4.254514e+03
  1.899254e-03   1.587891e+01   3.015807e-02  -4.212181e+03
  1.918341e-03   1.587770e+01   3.045884e-02  -4.170269e+03
  1.937621e-03   1.587647e+01   3.076258e-02  -4.128774e+03
