#       r             V(r)
  1.11502388e-02  -7.17473421e+02
  1.12623006e-02  -7.10334441e+02
  1.13754886e-02  -7.03266495e+02
  1.14898142e-02  -6.96268877e+02
  1.16052887e-02  -6.89340886e+02
  1.17219238e-02  -6.82481829e+02
  1.18397311e-02  -6.75691022e+02
  1.19587224e-02  -6.68967784e+02
  1.20789095e-02  -6.62311443e+02
  1.22003046e-02  -6.55721334e+02
  1.23229197e-02  -6.49196798e+02
  1.24467671e-02  -6.42737182e+02
  1.25718592e-02  -6.36341840e+02
  1.26982085e-02  -6.30010133e+02
  1.28258276e-02  -6.23741427e+02
  1.29547293e-02  -6.17535096e+02
  1.30849265e-02  -6.11390519e+02
  1.32164322e-02  -6.05307082e+02
  1.33492595e-02  -5.99284176e+02
  1.34834218e-02  -5.93321199e+02
  1.36189325e-02  -5.87417554e+02
  1.37558050e-02  -5.81572652e+02
  1.38940532e-02  -5.75785907e+02
  1.40336907e-02  -5.70056742e+02
  1.41747316e-02  -5.64384582e+02
  1.43171901e-02  -5.58768862e+02
  1.44610802e-02  -5.53209019e+02
  1.46064165e-02  -5.47704497e+02
  1.47532134e-02  -5.42254746e+02
  1.49014857e-02  -5.36859222e+02
  1.50512481e-02  -5.31517383e+02
  1.52025157e-02  -5.26228697e+02
  1.53553035e-02  -5.20992634e+02
  1.55096268e-02  -5.15808670e+02
  1.56655012e-02  -5.10676288e+02
  1.58229421e-02  -5.05594974e+02
  1.59819653e-02  -5.00564220e+02
  1.61425867e-02  -4.95583523e+02
  1.63048224e-02  -4.90652385e+02
  1.64686886e-02  -4.85770312e+02
  1.66342017e-02  -4.80936816e+02
  1.68013782e-02  -4.76151415e+02
  1.69702348e-02  -4.71413629e+02
  1.71407885e-02  -4.66722985e+02
  1.73130563e-02  -4.62079014e+02
  1.74870554e-02  -4.57481251e+02
  1.76628033e-02  -4.52929237e+02
  1.78403174e-02  -4.48422515e+02
  1.80196156e-02  -4.43960637e+02
  1.82007157e-02  -4.39543155e+02
  1.83836359e-02  -4.35169627e+02
  1.85683946e-02  -4.30839617e+02
  1.87550100e-02  -4.26552691e+02
  1.89435010e-02  -4.22308421e+02
  1.91338864e-02  -4.18106382e+02
  1.93261851e-02  -4.13946154e+02
  1.95204165e-02  -4.09827321e+02
  1.97165999e-02  -4.05749471e+02
  1.99147551e-02  -4.01712196e+02
  2.01149017e-02  -3.97715093e+02
  2.03170598e-02  -3.93757762e+02
  2.05212497e-02  -3.89839807e+02
  2.07274916e-02  -3.85960836e+02
  2.09358064e-02  -3.82120461e+02
  2.11462148e-02  -3.78318299e+02
  2.13587377e-02  -3.74553969e+02
  2.15733966e-02  -3.70827095e+02
  2.17902129e-02  -3.67137304e+02
  2.20092081e-02  -3.63484227e+02
  2.22304044e-02  -3.59867498e+02
  2.24538236e-02  -3.56286757e+02
  2.26794883e-02  -3.52741644e+02
  2.29074210e-02  -3.49231806e+02
  2.31376444e-02  -3.45756892e+02
  2.33701816e-02  -3.42316553e+02
  2.36050558e-02  -3.38910446e+02
  2.38422906e-02  -3.35538231e+02
  2.40819096e-02  -3.32199570e+02
  2.43239368e-02  -3.28894129e+02
  2.45683964e-02  -3.25621578e+02
  2.48153129e-02  -3.22381589e+02
  2.50647109e-02  -3.19173839e+02
  2.53166155e-02  -3.15998006e+02
  2.55710517e-02  -3.12853773e+02
  2.58280450e-02  -3.09740826e+02
  2.60876212e-02  -3.06658853e+02
